year,beta1,beta2
1950,-1.2954003912182552,-0.028834699469413565
1955,-0.9973868749452618,0.18787256123088023
1960,-0.5439142758314066,0.4699216529641322
1965,-0.1829861916445882,0.6532027808650083
1970,0.23868571224754673,0.8257111458247356
1975,0.6354596175410452,0.951902941571201
1980,1.062870867610102,1.037453242714211
1985,1.0447997115584917,0.9589214755087532
1990,0.36166247816557756,0.5487166108169197
1995,-0.5733109942347583,-0.20700187418197613
2000,-0.8296573110318121,-0.32897590555930484
2005,0.36371806266755485,0.5594842997767632
2010,1.577581635387308,0.6528320228709021
2015,2.7355466764093044,0.4040911671230041
2020,3.1487052326092906,0.47376696420789255
