age,mean,pc1,pc2,pc3
10,-4.343308736194088,-0.4034555153626556,-0.03543934319659853,0.5180823634246287
15,-4.065113513228577,-0.35334055790316743,0.0016011633680521626,0.3978591191781875
20,-3.7827203901885578,-0.33405530507241854,-0.0472817800123603,0.13307201597194007
25,-3.558331068087312,-0.3227157485926825,-0.13738732504326975,-0.1420852779370962
30,-3.393172606779298,-0.3006326353815069,-0.20141141206462246,-0.25987794760276606
35,-3.224310910334539,-0.2692481198627722,-0.2313161691763747,-0.3429431565888697
40,-3.093235626784985,-0.22803442384123743,-0.20454431037771165,-0.28778085595537856
45,-2.96367933532151,-0.18944076207805016,-0.1802777657610762,-0.24753934383870935
50,-2.7087792020403727,-0.17534377583346952,-0.11344360306323652,-0.149892207441167
55,-2.4081636867988467,-0.15617348840236647,-0.07529021368832296,-0.04954809248325953
60,-1.980139338711878,-0.15196109337279984,-0.006051953675840109,0.045702433567215234
65,-1.514006574780925,-0.15316933431652197,0.053414624951997225,0.09010322816080601
70,-0.9688163483737507,-0.15279053290897898,0.10754044236749323,0.11947054163851452
75,-0.3885192765352284,-0.1513324959590342,0.17444825357734403,0.117814404151985
80,0.29235195453959356,-0.15621451851237458,0.2571344792702702,0.04521379031142369
85,1.0410215545605652,-0.1623292417489329,0.3573570213009936,-0.10717599592214244
90,1.8595548049070028,-0.16030875326572375,0.5066384183868048,-0.28936407433453537
95,2.4811809517378745,-0.1465807643465207,0.5434048647129924,-0.21357975131987283
